/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 374 27 966 =======> 0.321869313717
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 383 24 977 =======> 0.693520426750
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 392 24 989 =======> 0.521537125111
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _readFromPipe 444 0 1026 =======> 0.721735417843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js _register 464 0 1037 =======> 0.008458582684
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 468 35 1044 =======> 0.000062183419
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js isObject 407 14 1006
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 32 9 660 =======> 0.002029627794
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 38 19 665 =======> 0.001193490811
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js isObject 58 0 677 =======> 0.903927564621
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js log 63 0 682 =======> 0.759033024311
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js convertErrorOutput 74 0 690 =======> 0.114212267101
